Genome Name,CheA
"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 159571453",31
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP2014F12-01SV259,297
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF019 (Microbial Forest Soil BW C17_O, ASSEMBLY_DATE=20130725)",2063
"Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate 3 DNA2013-049",4829
"Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 3 DNA2013-193",1280
Coral microbial communities from various places in Mexico - Orbicella C A metatranscriptome (Eukaryote Community Metatranscriptome),15
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  54 02/08/11 120m (Saanich Inlet 54 02/08/11 120m, March 2012 Assem)",19
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - Viral MetaG DEL_Mar_21,204
"Human supragingival plaque microbial communities from the National Institute of Health, USA - subject 159490532, visit 2",5
"Human stool microbial communities from the National Institute of Health, USA - subject 158499257, visit 2",37
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS-T MetaG",693
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaT HF238 (Metagenome Metatranscriptome)",115
"Grassland soil microbial communities from Hopland, California, USA - Sample H2_Rhizo_33 (Metagenome Metatranscriptome, Counting Only)",33
"Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMLT890",1157
"Marine microbial communities from Dirty Rock, Cocos Island, Costa Rica - GS025",8
"Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - site 3 B9 (Yellowstone National Park Obsidian Pool site 3 B9, ASSEMBLY_DATE=20131030)",17
"Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C (GBS Cellulolytic enrichment CS 77C sediment, Feb 2012 assem)",51
"Active sludge microbial communities from Klosterneuburg, Austria, studying microevolution and ecology of nitrifiers - Klosterneuburg WWTP active sludge metagenome KNB19-Kit",2524
"Marine microbial communities from the Deep Atlantic Ocean - MP0103 (Deep seawater metagenome MP0103, ASSEMBLY_DATE=20130220)",337
"Groundwater microbial communities from Devils Hole, Nevada to study Microbial Dark Matter (Phase II) - Devils Hole",1513
"Active sludge microbial communities from Illinois, USA, of municipal wastewater-treating anaerobic digesters - ADurb_Total_1013_SludgeMetaT (Metagenome Metatranscriptome)",212
Marine viral communities from the Subarctic Pacific Ocean - 2_ETSP_OMZ_AT15125 metaG,120
