Function ID,Name,Agr soi Cot 3300007004 (MER-FS) (assembled),Agr soi 205 3300009095 (MER-FS) (assembled),Arc pea 209 3300002347 (MER-FS) (assembled),Arc pea II 3300009010 (MER-FS) (assembled),For soi 205 3300001546 (MER-FS) (assembled),For soi 206 3300001471 (MER-FS) (assembled),Pol des 208 3300002548 (MER-FS) (assembled),Pol des 206 3300002547 (MER-FS) (assembled),Soi mic Mee 3300005506 (MER-FS) (assembled),Soi mic Mee 3300005505 (MER-FS) (assembled),Tro for 209 3300001285 (MER-FS) (assembled),Tro for 201 3300001075 (MER-FS) (assembled),Tro for Pl6 3300010043 (MER-FS) (assembled),Tro for Pl0 3300010047 (MER-FS) (assembled)
pfam00015,Methyl-accepting chemotaxis protein (MCP) signalling domain,2430,8069,73,28,230,314,37,33,151,441,2,4,1079,1132
pfam00989,PAS fold,7082,7200,289,151,556,705,78,113,500,505,7,10,3539,4283
pfam01339,CheB methylesterase,2644,2806,83,31,157,227,28,17,184,253,1,2,1321,1516
pfam01584,CheW-like domain,2226,4794,50,27,230,324,20,20,217,361,1,5,841,900
pfam01739,"CheR methyltransferase, SAM binding domain",2648,3132,55,26,214,309,22,28,78,115,4,3,1228,1357
pfam02203,Tar ligand binding domain homologue,46,374,0,2,3,8,2,2,2,9,0,0,40,31
pfam03975,CheD chemotactic sensory transduction,213,439,2,4,10,11,1,2,0,14,0,0,41,76
pfam04509,CheC-like family,173,248,7,5,9,14,0,0,10,43,0,0,10,34
pfam08376,Nitrate and nitrite sensing,120,586,8,3,45,66,3,6,75,12,0,0,237,156
pfam13675,Type IV pili methyl-accepting chemotaxis transducer N-term,133,609,1,1,2,1,0,0,11,21,0,0,19,32
pfam13690,Chemotaxis phosphatase CheX,138,211,5,2,35,56,0,0,3,19,0,0,73,68
KO:K03407,"two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3] (cheA)",3542,4498,90,24,326,439,28,32,260,341,1,10,919,1019
