taxon_oid,Domain,Status,Study_Name,Genome_Name_/_Sample_Name,Sequencing_Center,IMG_Genome_ID_,Altitude,Depth,Ecosystem,Ecosystem_Category,Ecosystem_Subtype,Ecosystem_Type,Ecotype,Habitat,pH,Salinity,Genome_Size___*_assembled,Gene_Count___*_assembled,DSAda,CheAs,CheA_per
3300000917,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A2 Cattail (Wetland Surface Sediment Feb2011 Site A2 Cattail, Ctgs/UnRds Jan 2012 Assem)",DOE Joint Genome Institute (JGI),3300000917,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,146925476,408994,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A2 Cattail (Wetland Surface Sediment Feb2011 Site A2 Cattail, Ctgs/UnRds Jan 2012 Assem)",183685,0.449114168
3300000894,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Bulk (Wetland Surface Sediment Feb2011 Site L1 Bulk, Ctgs/UnReads Jan 2012 assem)",DOE Joint Genome Institute (JGI),3300000894,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,70007605,199148,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Bulk (Wetland Surface Sediment Feb2011 Site L1 Bulk, Ctgs/UnReads Jan 2012 assem)",75968,0.381465041
3300000786,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A2 Cattail (Wetland Surface Sediment Feb2011 Site A2 Cattail, Ctgs/UnReads Sept 2011 assem)",DOE Joint Genome Institute (JGI),3300000786,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,84472288,260286,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A2 Cattail (Wetland Surface Sediment Feb2011 Site A2 Cattail, Ctgs/UnReads Sept 2011 assem)",95946,0.368617598
3300000093,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B2 Bulk (Wetland Surface Sediment Feb2011 Site B2 Bulk, Oct 2011 assem)",DOE Joint Genome Institute (JGI),3300000093,-1.6m,.1m,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,61310069,187990,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B2 Bulk (Wetland Surface Sediment Feb2011 Site B2 Bulk, Oct 2011 assem)",55600,0.295760413
3300000854,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B2 Tule (Wetland Surface Sediment Feb2011 Site B2 Tule, Ctgs/UnReads Oct 2011 assem)",DOE Joint Genome Institute (JGI),3300000854,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,105539119,321832,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B2 Tule (Wetland Surface Sediment Feb2011 Site B2 Tule, Ctgs/UnReads Oct 2011 assem)",93546,0.29066718
3300000100,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface Sediment Feb2011 Site B2 Cattail (Wetland Surface Sediment Feb2011 Site B2 Cattail, Oct 2011 assem)",DOE Joint Genome Institute (JGI),3300000100,-1.6m,.1m,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,90589564,284067,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface Sediment Feb2011 Site B2 Cattail (Wetland Surface Sediment Feb2011 Site B2 Cattail, Oct 2011 assem)",74236,0.261332714
3300000816,*Microbiome,Draft,"Forest soil microbial communities from Amazon Forest, Brazil","Forest soil microbial communities from Amazon forest - 2010 replicate II A10 (Amazon Forest 2010 replicate II A10, May 2012 Assem)",DOE Joint Genome Institute (JGI),3300000816,,,Environmental,Terrestrial,Unclassified,Soil,,Forest soil,,,67531173,175204,"Forest soil microbial communities from Amazon forest - 2010 replicate II A10 (Amazon Forest 2010 replicate II A10, May 2012 Assem)",40233,0.229635168
3300000092,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L2 Tule (Wetland Surface Sediment Feb2011 Site L2 Tule, Sep 2011 assem)",DOE Joint Genome Institute (JGI),3300000092,-1.6m,.1m,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,111737537,334657,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L2 Tule (Wetland Surface Sediment Feb2011 Site L2 Tule, Sep 2011 assem)",72556,0.216807059
3300000895,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk (Wetland Surface Sediment Feb2011 Site A1 Bulk, Ctgs/Rds IBYY,IIYG 2012 Mar Assem)",DOE Joint Genome Institute (JGI),3300000895,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,243213055,583095,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk (Wetland Surface Sediment Feb2011 Site A1 Bulk, Ctgs/Rds IBYY,IIYG 2012 Mar Assem)",119933,0.205683465
3300000840,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk (Wetland Surface Sediment Feb2011 Site A1 Bulk, Ctgs/UnRds IIYG 2012 March Assem)",DOE Joint Genome Institute (JGI),3300000840,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,120209763,331295,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk (Wetland Surface Sediment Feb2011 Site A1 Bulk, Ctgs/UnRds IIYG 2012 March Assem)",63856,0.192746646
3300000094,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Tule (Wetland Surface Sediment Feb2011 Site A1 Tule, Oct 2011 assem)",DOE Joint Genome Institute (JGI),3300000094,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,129333279,362721,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Tule (Wetland Surface Sediment Feb2011 Site A1 Tule, Oct 2011 assem)",60243,0.166086331
3300001475,*Microbiome,Draft,"Soil microbial communities from 10 grassland sites in CA, CO, KS, KY, MN, MO, NM, SC, TX, that have been nitrogen fertilized","Forest soil microbial communities from Browns Valley, California, USA, that are Nitrogen fertilized - NN102 (Forest Soil microbial communities with Nitrogen NN102, ASSEMBLY_DATE=20130604)",DOE Joint Genome Institute (JGI),3300001475,197.195,,Environmental,Terrestrial,Loam,Soil,,Soil,,,41193602,130421,"Forest soil microbial communities from Browns Valley, California, USA, that are Nitrogen fertilized - NN102 (Forest Soil microbial communities with Nitrogen NN102, ASSEMBLY_DATE=20130604)",20406,0.156462533
3300000030,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Bulk (Wetland Surface Sediment Feb2011 Site B1 Bulk, Oct 2011 assem)",DOE Joint Genome Institute (JGI),3300000030,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,153197283,433712,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Bulk (Wetland Surface Sediment Feb2011 Site B1 Bulk, Oct 2011 assem)",65320,0.150606854
3300003850,*Microbiome,Draft,"Agave microbial communities from California, USA, and Mexico","Agave microbial communities from California, USA -  Mg.Ma.rz",DOE Joint Genome Institute (JGI),3300003850,2187m,,Host-associated,Plants,Unclassified,Phylloplane,,Agave,,,53850251,130066,"Agave microbial communities from California, USA -  Mg.Ma.rz",17147,0.131833069
3300000091,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Cattail (Wetland Surface Sediment Feb2011 Site L1 Cattail, Sep 2011 assem)",DOE Joint Genome Institute (JGI),3300000091,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,296519018,679298,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Cattail (Wetland Surface Sediment Feb2011 Site L1 Cattail, Sep 2011 assem)",78938,0.116205259
3300000893,*Microbiome,Draft,"Forest soil microbial communities from Amazon Forest, Brazil","Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A001 (Amazon Pasture72 2010 replicate I A001, May 2012 Assem)",DOE Joint Genome Institute (JGI),3300000893,,,Environmental,Terrestrial,Unclassified,Soil,,Forest soil,,,176302076,437816,"Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A001 (Amazon Pasture72 2010 replicate I A001, May 2012 Assem)",47046,0.1074561
3300000090,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Cattail (Wetland Surface Sediment Feb2011 Site B1 Cattail, Sep 2011 assem)",DOE Joint Genome Institute (JGI),3300000090,-1.6m,<.1m,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,291270262,747850,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Cattail (Wetland Surface Sediment Feb2011 Site B1 Cattail, Sep 2011 assem)",77469,0.103588955
3300001461,*Microbiome,Draft,"Forest soil microbial communities from Douglas fir zone in British Columbia and Gulf Coastal Plain in Texas, USA","Forest soil microbial communities from Davy Crockett National Forest, Groveton, Texas, USA - Texas A ecozone_OM3H0_O3 (Texas A ecozone_OM3H0_O3, ASSEMBLY_DATE=20130529)",DOE Joint Genome Institute (JGI),3300001461,,,Environmental,Terrestrial,Loam,Soil,,Forest soil,,,53549027,171243,"Forest soil microbial communities from Davy Crockett National Forest, Groveton, Texas, USA - Texas A ecozone_OM3H0_O3 (Texas A ecozone_OM3H0_O3, ASSEMBLY_DATE=20130529)",16728,0.097685745
3300000108,*Microbiome,Finished,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk (Wetland Surface Sediment Feb2011 Site A1 Bulk, 2011 Sep Assem)",DOE Joint Genome Institute (JGI),3300000108,,~0-12 cm below ground,Environmental,Aquatic,Wetlands,Marine,,Wetland,,,208340005,570282,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk (Wetland Surface Sediment Feb2011 Site A1 Bulk, 2011 Sep Assem)",51219,0.089813461
3300000650,*Microbiome,Draft,"Forest soil microbial communities from Amazon Forest, Brazil","Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A1 (Amazon Pasture72 2010 replicate I A1, April 2012 Assem)",DOE Joint Genome Institute (JGI),3300000650,,,Environmental,Terrestrial,Unclassified,Soil,,Forest soil,,,72355858,228780,"Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A1 (Amazon Pasture72 2010 replicate I A1, April 2012 Assem)",19884,0.086913192
3300000652,*Microbiome,Finished,Arabidopsis rhizosphere microbial communities from the University of North Carolina,"Arabidopsis rhizosphere microbial communities from the University of North Carolina - sample from Col-0 young rhizosphere DNA (Arabidopsis Col-0 young rhizosphere DNA, March 2102 Assem)",DOE Joint Genome Institute (JGI),3300000652,,,Host-associated,Plants,Epiphytes,Rhizoplane,,Arabidopsis rhizosphere,,,72903435,220291,"Arabidopsis rhizosphere microbial communities from the University of North Carolina - sample from Col-0 young rhizosphere DNA (Arabidopsis Col-0 young rhizosphere DNA, March 2102 Assem)",18525,0.084093313
3300000837,*Microbiome,Draft,"Forest soil microbial communities from Amazon Forest, Brazil","Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A100 (Amazon Pasture72 2010 replicate I A100, April 2012 Assem)",DOE Joint Genome Institute (JGI),3300000837,,,Environmental,Terrestrial,Unclassified,Soil,,Forest soil,,,148610418,396511,"Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A100 (Amazon Pasture72 2010 replicate I A100, April 2012 Assem)",31197,0.078678776
3300003349,*Microbiome,Draft,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling","Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Endophyte Co-N S PM (Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Endophyte Co-N S PM, ASSEMBLY_DATE=20140824)",DOE Joint Genome Institute (JGI),3300003349,,,Host-associated,Plants,Epiphytes,Rhizoplane,,Arabidopsis thaliana rhizosphere,,,45294543,121573,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Endophyte Co-N S PM (Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Endophyte Co-N S PM, ASSEMBLY_DATE=20140824)",8801,0.072392719
3300000131,*Microbiome,Draft,Marine microbial communities from chronically polluted sediments in four geographic locations,"Marine microbial communities from chronically polluted sediments in Tierra del Fuego - site MC sample ARG 02_11.3m (Tierra del Fuego site MC sample ARG 02_11.3m, Jan 2012 Assem)",DOE Joint Genome Institute (JGI),3300000131,8m,11.3m,Environmental,Aquatic,Intertidal zone,Marine,,Marine,,,57529379,175656,"Marine microbial communities from chronically polluted sediments in Tierra del Fuego - site MC sample ARG 02_11.3m (Tierra del Fuego site MC sample ARG 02_11.3m, Jan 2012 Assem)",12324,0.070159858
3300001177,*Microbiome,Draft,"Forest soil microbial communities from Douglas fir zone in British Columbia and Gulf Coastal Plain in Texas, USA","Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM2_O2 (Black Spruce, Ontario site 2_A8_OM2_O2, ASSEMBLY_DATE=20130306)",DOE Joint Genome Institute (JGI),3300001177,450,,Environmental,Terrestrial,Loam,Soil,,Forest soil,,,33060400,104152,"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM2_O2 (Black Spruce, Ontario site 2_A8_OM2_O2, ASSEMBLY_DATE=20130306)",7041,0.067603119
3300003372,*Microbiome,Draft,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada","Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP03_OM1 (Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP03_OM1, ASSEMBLY_DATE=20140828)",DOE Joint Genome Institute (JGI),3300003372,,,Environmental,Aquatic,Wetlands,Freshwater,,Bog forest soil,,,54813825,155080,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP03_OM1 (Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP03_OM1, ASSEMBLY_DATE=20140828)",9955,0.064192675
